date,browser_version,visits
2016-10-11,10.0,339
2016-10-12,11.0,9501
2016-10-12,7.0,1291
2016-10-12,9.0,732
2016-10-12,10.0,327
2016-10-13,11.0,9655
2016-10-13,7.0,1264
2016-10-13,9.0,657
2016-10-13,10.0,302
2016-10-14,11.0,9593
2016-10-14,7.0,1473
2016-10-14,9.0,588
2016-10-14,10.0,352
2016-10-15,11.0,1796
2016-10-15,9.0,112
2016-10-16,11.0,1793
2016-10-16,9.0,183
2016-10-17,11.0,12991
2016-10-17,7.0,1826
2016-10-17,9.0,867
2016-10-17,10.0,401
2016-10-17,8.0,156
2016-10-18,11.0,11178
2016-10-18,7.0,1558
2016-10-18,9.0,891
2016-10-18,10.0,396
2016-10-18,8.0,109
2016-10-19,11.0,10000
2016-10-19,7.0,1452
2016-10-19,9.0,705
2016-10-19,10.0,344
2016-10-20,11.0,9989
2016-10-20,7.0,1468
2016-10-20,9.0,603
2016-10-20,10.0,346
2016-10-21,11.0,11201
2016-10-21,7.0,1887
2016-10-21,9.0,550
2016-10-21,10.0,334
2016-10-21,8.0,111
2016-10-22,11.0,1722
2016-10-23,11.0,1567
2016-10-24,11.0,11271
2016-10-24,7.0,1898
2016-10-24,9.0,735
2016-10-24,10.0,386
2016-10-24,8.0,103
2016-10-25,11.0,10197
2016-10-25,7.0,1521
2016-10-25,9.0,611
2016-10-25,10.0,355
2016-10-26,11.0,9487
2016-10-26,7.0,1379
2016-10-26,9.0,585
2016-10-26,10.0,346
2016-10-27,11.0,9639
2016-10-27,7.0,1447
2016-10-27,9.0,660
2016-10-27,10.0,306
2016-10-28,11.0,9648
2016-10-28,7.0,1574
2016-10-28,9.0,553
2016-10-28,10.0,289
2016-10-29,11.0,1730
2016-10-29,9.0,108
2016-10-30,11.0,1884
2016-10-30,9.0,154
2016-10-31,11.0,10419
2016-10-31,7.0,1499
2016-10-31,9.0,704
2016-10-31,10.0,321
2016-10-31,8.0,154
2016-11-01,11.0,10220
2016-11-01,7.0,1439
2016-11-01,9.0,899
2016-11-01,10.0,348
2016-11-01,8.0,109
2016-11-02,11.0,9423
2016-11-02,7.0,1319
2016-11-02,9.0,697
2016-11-02,10.0,317
2016-11-03,11.0,9746
2016-11-03,7.0,1354
2016-11-03,9.0,703
2016-11-03,10.0,320
