date,browser,os,visits
2016-11-01,Chrome,Windows,15993
2016-11-01,Internet Explorer,Windows,13006
2016-11-01,Safari,iOS,7410
2016-11-01,Chrome,Macintosh,5178
2016-11-01,Chrome,Android,3393
2016-11-01,Firefox,Windows,2966
2016-11-01,Safari,Macintosh,2908
2016-11-01,Edge,Windows,846
2016-11-01,Firefox,Macintosh,725
2016-11-01,Chrome,Chrome OS,673
2016-11-01,Chrome,iOS,500
2016-11-01,Chrome,Linux,431
2016-11-01,Safari (in-app),iOS,189
2016-11-01,Mozilla,Windows,122
2016-11-02,Chrome,Windows,15618
2016-11-02,Internet Explorer,Windows,11830
2016-11-02,Safari,iOS,7586
2016-11-02,Chrome,Macintosh,5047
2016-11-02,Chrome,Android,3558
2016-11-02,Firefox,Windows,2858
2016-11-02,Safari,Macintosh,2721
2016-11-02,Edge,Windows,749
2016-11-02,Chrome,Chrome OS,684
2016-11-02,Firefox,Macintosh,596
2016-11-02,Chrome,iOS,568
2016-11-02,Chrome,Linux,385
2016-11-02,Safari (in-app),iOS,177
2016-11-02,Mozilla,Windows,111
2016-11-03,Chrome,Windows,14830
2016-11-03,Internet Explorer,Windows,12197
2016-11-03,Safari,iOS,6805
2016-11-03,Chrome,Macintosh,4490
2016-11-03,Chrome,Android,3080
2016-11-03,Firefox,Windows,2848
2016-11-03,Safari,Macintosh,2391
2016-11-03,Edge,Windows,726
2016-11-03,Chrome,Chrome OS,623
2016-11-03,Firefox,Macintosh,601
2016-11-03,Chrome,iOS,505
2016-11-03,Chrome,Linux,370
2016-11-03,Safari (in-app),iOS,259
2016-11-03,Mozilla,Windows,117
