date,os_version,visits
2016-09-13,8.1,1805
2016-09-13,Vista,260
2016-09-13,XP,322
2016-09-14,10,6020
2016-09-14,7,20620
2016-09-14,8,232
2016-09-14,8.1,1771
2016-09-14,Vista,264
2016-09-14,XP,368
2016-09-15,10,5582
2016-09-15,7,20150
2016-09-15,8,232
2016-09-15,8.1,1806
2016-09-15,Vista,249
2016-09-15,XP,310
2016-09-16,10,4682
2016-09-16,7,18511
2016-09-16,8,192
2016-09-16,8.1,1581
2016-09-16,Vista,228
2016-09-16,XP,272
2016-09-17,10,3063
2016-09-17,7,3507
2016-09-17,8,104
2016-09-17,8.1,929
2016-09-17,Vista,116
2016-09-17,XP,135
2016-09-18,10,3493
2016-09-18,7,3786
2016-09-18,8,115
2016-09-18,8.1,982
2016-09-18,Vista,155
2016-09-18,XP,138
2016-09-19,10,6555
2016-09-19,7,23303
2016-09-19,8,292
2016-09-19,8.1,1918
2016-09-19,Vista,270
2016-09-19,XP,434
2016-09-20,10,6132
2016-09-20,7,22490
2016-09-20,8,257
2016-09-20,8.1,1824
2016-09-20,Vista,263
2016-09-20,XP,365
2016-09-21,10,5996
2016-09-21,7,20210
2016-09-21,8,254
2016-09-21,8.1,1766
2016-09-21,Vista,289
2016-09-21,XP,297
2016-09-22,10,5947
2016-09-22,7,21178
2016-09-22,8,238
2016-09-22,8.1,1851
2016-09-22,Vista,246
2016-09-22,XP,338
2016-09-23,10,5084
2016-09-23,7,19216
2016-09-23,8,202
2016-09-23,8.1,1640
2016-09-23,Vista,226
2016-09-23,XP,304
2016-09-24,10,2904
2016-09-24,7,3238
2016-09-24,8.1,899
2016-09-24,Vista,136
2016-09-24,XP,139
2016-09-25,10,3028
2016-09-25,7,3190
2016-09-25,8,101
2016-09-25,8.1,996
2016-09-25,Vista,113
2016-09-25,XP,153
2016-09-26,10,6214
2016-09-26,7,21861
2016-09-26,8,236
2016-09-26,8.1,1889
2016-09-26,Vista,233
2016-09-26,XP,363
2016-09-27,10,6065
2016-09-27,7,21025
2016-09-27,8,257
2016-09-27,8.1,1822
2016-09-27,Vista,233
2016-09-27,XP,349
