date,os,visits
2016-09-07,Linux,508
2016-09-07,Macintosh,7039
2016-09-07,Windows,30853
2016-09-07,iOS,7296
2016-09-08,Android,3262
2016-09-08,Chrome OS,611
2016-09-08,Linux,477
2016-09-08,Macintosh,6750
2016-09-08,Windows,29093
2016-09-08,iOS,6713
2016-09-09,Android,3122
2016-09-09,Chrome OS,777
2016-09-09,Linux,478
2016-09-09,Macintosh,5784
2016-09-09,Windows,27055
2016-09-09,iOS,7177
2016-09-10,Android,2329
2016-09-10,Chrome OS,210
2016-09-10,Linux,404
2016-09-10,Macintosh,3496
2016-09-10,Windows,7424
2016-09-10,iOS,5508
2016-09-11,Android,2266
2016-09-11,Chrome OS,236
2016-09-11,Linux,410
2016-09-11,Macintosh,4432
2016-09-11,Windows,8059
2016-09-11,iOS,5065
2016-09-12,Android,2891
2016-09-12,Chrome OS,631
2016-09-12,Linux,479
2016-09-12,Macintosh,7628
2016-09-12,Windows,31228
2016-09-12,iOS,6712
2016-09-13,Android,2876
2016-09-13,Chrome OS,663
2016-09-13,Linux,475
2016-09-13,Macintosh,7168
2016-09-13,Windows,30186
2016-09-13,iOS,6743
2016-09-14,Android,2902
2016-09-14,Chrome OS,649
2016-09-14,Linux,483
2016-09-14,Macintosh,6772
2016-09-14,Windows,29286
2016-09-14,iOS,6767
2016-09-15,Android,2965
2016-09-15,Chrome OS,615
2016-09-15,Linux,492
2016-09-15,Macintosh,6157
2016-09-15,Windows,28338
2016-09-15,iOS,6533
2016-09-16,Android,2579
2016-09-16,Chrome OS,549
2016-09-16,Linux,482
2016-09-16,Macintosh,5134
2016-09-16,Windows,25476
2016-09-16,iOS,5751
2016-09-17,Android,2681
2016-09-17,Chrome OS,218
2016-09-17,Linux,422
2016-09-17,Macintosh,3587
2016-09-17,Windows,7865
2016-09-17,iOS,6082
2016-09-18,Android,2687
2016-09-18,Chrome OS,254
2016-09-18,Linux,483
2016-09-18,Macintosh,4421
2016-09-18,Windows,8680
2016-09-18,iOS,6077
2016-09-19,Android,3537
2016-09-19,Chrome OS,664
2016-09-19,Linux,522
2016-09-19,Macintosh,8112
2016-09-19,Windows,32790
2016-09-19,iOS,8398
2016-09-20,Android,3253
2016-09-20,Chrome OS,640
2016-09-20,Linux,499
2016-09-20,Macintosh,7215
2016-09-20,Windows,31351
2016-09-20,iOS,7186
2016-09-21,Android,3073
2016-09-21,Chrome OS,581
2016-09-21,Linux,477
2016-09-21,Macintosh,6864
2016-09-21,Windows,28819
2016-09-21,iOS,6878
2016-09-22,Android,3117
2016-09-22,Chrome OS,694
2016-09-22,Linux,506
2016-09-22,Macintosh,7467
2016-09-22,Windows,29813
2016-09-22,iOS,7548
2016-09-23,Android,3139
2016-09-23,Chrome OS,559
2016-09-23,Linux,495
2016-09-23,Macintosh,5752
2016-09-23,Windows,26688
2016-09-23,iOS,6949
2016-09-24,Android,2337
2016-09-24,Chrome OS,211
2016-09-24,Linux,426
2016-09-24,Macintosh,3528
2016-09-24,Windows,7407
2016-09-24,iOS,5518
2016-09-25,Android,2221
2016-09-25,Chrome OS,229
2016-09-25,Linux,394
2016-09-25,Macintosh,4023
2016-09-25,Windows,7599
2016-09-25,iOS,4935
2016-09-26,Android,3265
2016-09-26,Chrome OS,660
2016-09-26,Linux,529
2016-09-26,Macintosh,7749
2016-09-26,Windows,30824
2016-09-26,iOS,7467
2016-09-27,Android,3212
2016-09-27,Chrome OS,675
2016-09-27,Linux,531
2016-09-27,Macintosh,7363
2016-09-27,Windows,29780
2016-09-27,iOS,7074
2016-09-28,Android,3114
2016-09-28,Chrome OS,627
2016-09-28,Linux,504
2016-09-28,Macintosh,7034
2016-09-28,Windows,29217
2016-09-28,iOS,6946
2016-09-29,Android,2968
2016-09-29,Chrome OS,635
2016-09-29,Linux,501
2016-09-29,Macintosh,6597
2016-09-29,Windows,28626
2016-09-29,iOS,6488
2016-09-30,Android,2605
2016-09-30,Chrome OS,568
2016-09-30,Linux,461
2016-09-30,Macintosh,5575
2016-09-30,Windows,25700
2016-09-30,iOS,6057
2016-10-01,Android,2490
2016-10-01,Chrome OS,159
2016-10-01,Linux,449
2016-10-01,Macintosh,3594
2016-10-01,Windows,7663
2016-10-01,iOS,5900
2016-10-02,Android,2820
2016-10-02,Chrome OS,261
2016-10-02,Linux,448
2016-10-02,Macintosh,4646
2016-10-02,Windows,8705
2016-10-02,iOS,6504
2016-10-03,Android,3272
2016-10-03,Chrome OS,624
2016-10-03,Linux,512
2016-10-03,Macintosh,7816
2016-10-03,Windows,33126
2016-10-03,iOS,7507
2016-10-04,Android,3551
2016-10-04,Chrome OS,688
2016-10-04,Linux,519
2016-10-04,Macintosh,7654
2016-10-04,Windows,34116
2016-10-04,iOS,8230
2016-10-05,Android,3244
2016-10-05,Chrome OS,659
2016-10-05,Linux,680
2016-10-05,Macintosh,7065
2016-10-05,Windows,30340
2016-10-05,iOS,7337
2016-10-06,Android,3902
2016-10-06,Chrome OS,742
2016-10-06,Linux,489
2016-10-06,Macintosh,7200
2016-10-06,Windows,30295
2016-10-06,iOS,8886
2016-10-07,Android,3189
2016-10-07,Chrome OS,530
2016-10-07,Linux,507
2016-10-07,Macintosh,5751
2016-10-07,Windows,27284
2016-10-07,iOS,7068
2016-10-08,Android,2389
2016-10-08,Chrome OS,203
2016-10-08,Linux,454
2016-10-08,Macintosh,3509
2016-10-08,Windows,7607
2016-10-08,iOS,5417
2016-10-09,Android,2415
2016-10-09,Chrome OS,222
2016-10-09,Linux,424
2016-10-09,Macintosh,4342
2016-10-09,Windows,7805
2016-10-09,iOS,5487
2016-10-10,Android,2961
2016-10-10,Chrome OS,504
2016-10-10,Linux,465
2016-10-10,Macintosh,7472
2016-10-10,Windows,18612
2016-10-10,iOS,6505
2016-10-11,Android,3172
2016-10-11,Chrome OS,612
2016-10-11,Linux,501
2016-10-11,Macintosh,7863
2016-10-11,Windows,31045
2016-10-11,iOS,7152
2016-10-12,Android,3778
2016-10-12,Chrome OS,632
2016-10-12,Linux,509
2016-10-12,Macintosh,8639
2016-10-12,Windows,31580
2016-10-12,iOS,9041
2016-10-13,Android,3249
2016-10-13,Chrome OS,606
2016-10-13,Linux,475
2016-10-13,Macintosh,7362
2016-10-13,Windows,30452
2016-10-13,iOS,7227
2016-10-14,Android,2807
2016-10-14,Chrome OS,559
2016-10-14,Linux,447
2016-10-14,Macintosh,6468
2016-10-14,Windows,28698
2016-10-14,iOS,6680
2016-10-15,Android,3393
2016-10-15,Chrome OS,206
2016-10-15,Linux,445
2016-10-15,Macintosh,4863
2016-10-15,Windows,8816
2016-10-15,iOS,8985
2016-10-16,Android,3346
2016-10-16,Chrome OS,280
2016-10-16,Linux,445
2016-10-16,Macintosh,6674
2016-10-16,Windows,10291
2016-10-16,iOS,10786
2016-10-17,Android,3632
2016-10-17,Chrome OS,602
2016-10-17,Linux,512
2016-10-17,Macintosh,8599
2016-10-17,Windows,37627
2016-10-17,iOS,8394
2016-10-18,Android,3390
2016-10-18,Chrome OS,637
2016-10-18,Linux,535
2016-10-18,Macintosh,8096
2016-10-18,Windows,34479
2016-10-18,iOS,7998
2016-10-19,Android,3084
2016-10-19,Chrome OS,609
2016-10-19,Linux,432
2016-10-19,Macintosh,7414
2016-10-19,Windows,31180
2016-10-19,iOS,6857
2016-10-20,Android,3033
2016-10-20,Chrome OS,671
2016-10-20,Linux,497
2016-10-20,Macintosh,7631
2016-10-20,Windows,31295
2016-10-20,iOS,7058
2016-10-21,Android,2837
2016-10-21,Chrome OS,535
2016-10-21,Linux,497
2016-10-21,Macintosh,6135
2016-10-21,Windows,31176
2016-10-21,iOS,6384
2016-10-22,Android,2281
2016-10-22,Chrome OS,173
2016-10-22,Linux,444
2016-10-22,Macintosh,4040
2016-10-22,Windows,7543
2016-10-22,iOS,5569
2016-10-23,Android,2347
2016-10-23,Chrome OS,227
2016-10-23,Linux,427
2016-10-23,Macintosh,5254
2016-10-23,Windows,8853
2016-10-23,iOS,5697
2016-10-24,Android,3194
2016-10-24,Chrome OS,744
2016-10-24,Linux,511
2016-10-24,Macintosh,9147
2016-10-24,Windows,35897
2016-10-24,iOS,7823
2016-10-25,Android,3534
2016-10-25,Chrome OS,783
2016-10-25,Linux,484
2016-10-25,Macintosh,8371
2016-10-25,Windows,33068
2016-10-25,iOS,8287
2016-10-26,Android,3220
2016-10-26,Chrome OS,693
2016-10-26,Linux,498
2016-10-26,Macintosh,7762
2016-10-26,Windows,31345
2016-10-26,iOS,7724
2016-10-27,Android,3067
2016-10-27,Chrome OS,637
2016-10-27,Linux,490
2016-10-27,Macintosh,7418
2016-10-27,Windows,30969
2016-10-27,iOS,7102
2016-10-28,Android,2876
2016-10-28,Chrome OS,536
2016-10-28,Linux,461
2016-10-28,Macintosh,6122
2016-10-28,Windows,28646
2016-10-28,iOS,6478
2016-10-29,Android,2789
2016-10-29,Chrome OS,196
